city_key,city_name,province,raw_city_variants,province_variants,city_level,workbook_count,coverage_status,workbooks_missing,has_zero_width_chars,admin_status,needs_manual_review,review_reason,notes
cn_city_0fcc2d79,河池,广西,河池;河池市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_b78554e5,玉林,广西,玉林;玉林市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_4bf3ea47,百色,广西,百色;百色市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_46b186b2,贵港,广西,贵港;贵港市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_9c04d8fd,贺州,广西,贺州;贺州市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_e40bb126,钦州,广西,钦州;钦州市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_d8a19599,防城港,广西,防城港;防城港市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_64e6759c,乌鲁木齐,新疆,乌鲁木齐;乌鲁木齐市,中国;新疆,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_e37d191f,克拉玛依,新疆,克拉玛依;克拉玛依市,中国;新疆,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_df89ef7f,吐鲁番,新疆,吐鲁番,中国;新疆,地级市,7,complete,,no,normal,no,,
cn_city_4cffe756,哈密,新疆,哈密;哈密​​,中国;新疆,地级市,7,complete,,yes,name_normalization,yes,原始城市名含不可见字符；原始数据存在零宽字符，已规范化为哈密。,原始城市名存在多个写法；原始城市名包含不可见字符
cn_city_d4592da4,南京,江苏,南京;南京市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_3f14bdeb,南通,江苏,南通;南通市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_b8fffeef,宿迁,江苏,宿迁;宿迁市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_6fbde727,常州,江苏,常州;常州市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_64c0ff60,徐州,江苏,徐州;徐州市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_67186ed4,扬州,江苏,扬州;扬州市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_c449399a,无锡,江苏,无锡;无锡市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_ba009c36,泰州,江苏,泰州;泰州市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_013057fd,淮安,江苏,淮安;淮安市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_4094fc67,盐城,江苏,盐城;盐城市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
