normalized_city,raw_city_variants,province_variants,workbook_count,workbooks_present,workbooks_missing,has_zero_width_chars,notes
岳阳,岳阳;岳阳市,中国;湖南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
崇左,崇左;崇左市,中国;广西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
巢湖,安徽,中国,6,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;房地产开发投资额,地级市房价,no,不是所有工作簿都覆盖
巴中,巴中;巴中市,中国;四川,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
巴彦淖尔,巴彦淖尔;巴彦淖尔市,中国;内蒙古,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
常州,常州;常州市,中国;江苏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
常德,常德;常德市,中国;湖南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
平凉,平凉;平凉市,中国;甘肃,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
平顶山,平顶山;平顶山市,中国;河南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
广元,广元;广元市,中国;四川,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
广安,广安;广安市,中国;四川,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
广州,广州;广州市,中国;广东,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
庆阳,庆阳;庆阳市,中国;甘肃,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
廊坊,廊坊;廊坊市,中国;河北,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
延安,延安;延安市,中国;陕西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
开封,开封;开封市,中国;河南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
张家口,张家口;张家口市,中国;河北,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
张家界,张家界;张家界市,中国;湖南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
张掖,张掖;张掖市,中国;甘肃,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
徐州,徐州;徐州市,中国;江苏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
德州,德州;德州市,中国;山东,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
德阳,德阳;德阳市,中国;四川,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
忻州,忻州;忻州市,中国;山西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
怀化,怀化;怀化市,中国;湖南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
惠州,惠州;惠州市,中国;广东,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
成都,成都;成都市,中国;四川,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
扬州,扬州;扬州市,中国;江苏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
承德,承德;承德市,中国;河北,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
抚州,抚州;抚州市,中国;江西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
抚顺,抚顺;抚顺市,中国;辽宁,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
拉萨,拉萨;拉萨市,中国;西藏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
揭阳,揭阳;揭阳市,中国;广东,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
攀枝花,攀枝花;攀枝花市,中国;四川,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
新乡,新乡;新乡市,中国;河南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
新余,新余;新余市,中国;江西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
无锡,无锡;无锡市,中国;江苏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
日喀则,日喀则,中国;西藏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,
日照,日照;日照市,中国;山东,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
